id,nome,dosagem,apresentacao,position,estoque
17345,DEXAMETASONA 4 MG 1 CP,4 mg,1 cp,dummie,10.0
17349,DICLOFENACO SODICO 50 MG 1 CP,50 mg,1 cp,dummie,10.0
17351,"DIGOXINA 0,25 MG 1 CP","0,25 mg",1 cp,dummie,10.0
17352,DILTIAZEM 30 MG 1 CP,30 mg,1 cp,dummie,10.0
17353,DILTIAZEM 30 MG 2 CP,30 mg,2 cp,dummie,10.0
17354,DIMETICONA 40 MG 1 CP,40 mg,1 cp,dummie,10.0
17355,DIPIRONA +ADIFENINA+PROMETAZINA (500+10+5) MG 1 CP,500+10+5 mg,1 cp,dummie,7.0
17356,DIPIRONA SODICA 500 MG 1 CP,500 mg,1 cp,dummie,6.0
17357,DIPIRONA SODICA 500 MG 2 CP,500 mg,2 cp,dummie,7
19804,DOMPERIDONA 10MG 1CP,10mg,1cp,dummie,10.0
17358,DOXAZOSINA 2 MG 1 CP,2 mg,1 cp,dummie,10.0
27985,DOXICICLINA 100 MG 1CP,100 mg,1cp,dummie,10.0
17359,ENALAPRIL 5 MG 1 CP,5 mg,1 cp,dummie,10.0
17360,ENALAPRIL 5 MG 2 CP,5 mg,2 cp,dummie,10.0
17361,ENALAPRIL 5 MG 4 CP,5 mg,4 cp,dummie,10.0
20395,"ERGOMETRINA 0,2 MG 1 CP","0,2 mg",1 cp,dummie,10.0
17363,ESCOPOLAMINA 10 MG 1 CP,10 mg,1 cp,dummie,10.0
17362,ESCOPOLAMINA +DIPIRONA DRAGEA (10+250) MG 1 CP,10+250 mg,1 cp,dummie,9.0
28638,ESOMEPRAZOL MAGNESICO 20 MG 1 CP,20 mg,1 cp,dummie,10.0
17364,ESPIRONOLACTONA 100 MG 1 CP,100 mg,1 cp,dummie,10.0
17365,ESPIRONOLACTONA 25 MG 1 CP,25 mg,1 cp,dummie,10.0
17366,ESPIRONOLACTONA 25 MG 2 CP,25 mg,2 cp,dummie,10.0
17369,FLUCONAZOL 100 MG 1 CP,100 mg,1 cp,dummie,10.0
20473,FLUCONAZOL 150 MG 1 CP,150 mg,1 cp,dummie,10.0
17372,FOLINATO CALCICO 15 MG 1 CP,15 mg,1 cp,dummie,10.0
26548,FOLINATO CALCICO MANIPULADO 15 MG 1 CP,15 mg,1 cp,dummie,10.0
26483,FORMOTEROL 12 MCG 1 CAPS INALATORIA,12 mcg 1 caps,1 caps inalatoria,dummie,10.0
17374,"FUROSEMIDA 40 MG 0,5 CP",40 mg,5 cp,dummie,10.0
17373,FUROSEMIDA 40 MG 1 CP,40 mg,1 cp,dummie,10.0
17375,FUROSEMIDA 40 MG 2 CP,40 mg,2 cp,dummie,10.0
17378,"GLIBENCLAMIDA 5 MG 0,5 CP",5 mg,5 cp,dummie,10.0
17377,GLIBENCLAMIDA 5 MG 1 CP,5 mg,1 cp,dummie,10.0
17380,HIDRALAZINA 25 MG 1 CP,25 mg,1 cp,dummie,10.0
17381,HIDRALAZINA 25 MG 2 CP,25 mg,2 cp,dummie,10.0
17382,HIDRALAZINA 25 MG 4 CP,25 mg,4 cp,dummie,10.0
19946,HIDRALAZINA 50MG 1 CP,50mg,1 cp,dummie,10.0
19990,HIDRALAZINA 50 MG 2 CP,50 mg,2 cp,dummie,10.0
17383,HIDROCLOROTIAZIDA 25 MG 1 CP,25 mg,1 cp,dummie,10.0
18534,HIDROCLOROTIAZIDA 25 MG 2 CP,25 mg,2 cp,dummie,10.0
17384,HIDROCLOROTIAZIDA 50 MG 1 CP,50 mg,1 cp,dummie,10.0
17385,HIDROXICLOROQUINA 400 MG 1 CP,400 mg,1 cp,dummie,10.0
18944,HIDROXIZINA 25 MG 1 CP,25 mg,1 cp,dummie,10.0
17387,ISOSSORBIDA DINITRATO 5 MG 1 CP,5 mg,1 cp,dummie,10.0
17389,"ISOSSORBIDA MONONITRATO 20 MG 0,5 CP",20 mg,5 cp,dummie,10.0
17388,ISOSSORBIDA MONONITRATO 20 MG 1 CP,20 mg,1 cp,dummie,10.0
17390,ISOSSORBIDA MONONITRATO 20 MG 2 CP,20 mg,2 cp,dummie,10.0
17391,IVERMECTINA 6 MG 1 CP,6 mg,1 cp,dummie,10.0
17392,LEVODOPA +BENSERAZIDA (200+50) MG 1 CP,200+50 mg,1 cp,dummie,10.0
17393,"LEVODOPA +BENZERAZIDA (200+50) MG 0,5 CP",200+50 mg,5 cp,dummie,10.0
17466,LEVOFLOXACINO 500 MG 1 CP,500 mg,1 cp,dummie,10.0
17395,LOPERAMIDA 2 MG 1 CP,2 mg,1 cp,dummie,10.0
17397,LOSARTANA POTASSICA 50 MG 1 CP,50 mg,1 cp,dummie,10.0
17399,MESALAZINA 400 MG 1 CP,400 mg,1 cp,dummie,10.0
28031,MESALAZINA 800 MG 1 CP,800 mg,1 cp,dummie,10.0
17402,"METFORMINA 850 MG 0,5 CP",850 mg,5 cp,dummie,10.0
17401,METFORMINA 850 MG 1 CP,850 mg,1 cp,dummie,10.0
17403,METILDOPA 250 MG 1 CP,250 mg,1 cp,dummie,10.0
17404,METILDOPA 250 MG 2 CP,250 mg,2 cp,dummie,10.0
19705,METIMAZOL 5MG 1CP,5mg,1cp,dummie,10.0
28192,"METOCLOPRAMIDA 10MG 0,5 CP",10mg,5 cp,dummie,10.0
17406,METOCLOPRAMIDA 10 MG 1 CP,10 mg,1 cp,dummie,10.0
17407,METOPROLOL 100 MG 1 CP,100 mg,1 cp,dummie,10.0
17408,METRONIDAZOL 250 MG 1 CP,250 mg,1 cp,dummie,10.0
17409,METRONIDAZOL 250 MG 2 CP,250 mg,2 cp,dummie,10.0
17414,NAPROXENO 275 MG 1 CP,275 mg,1 cp,dummie,10.0
17468,NEOMICINA 500 MG 1 CP,500 mg,1 cp,dummie,10.0
27198,NIMODIPINO 30MG/CP 1CP,30mg/cp,1cp,dummie,10.0
17415,NITROFURANTOINA 100 MG 1 CP,100 mg,1 cp,dummie,10.0
17416,NORFLOXACINO 400 MG 1 CP,400 mg,1 cp,dummie,10.0
17418,OMEPRAZOL 20 MG 1 CP,20 mg,1 cp,dummie,10.0
17419,OMEPRAZOL 20 MG 2 CP,20 mg,2 cp,dummie,10.0
19679,OMEPRAZOL MAGNESICO 20 MG 1 CP,20 mg,1 cp,dummie,10.0
19520,"ONDANSETRONA 4 MG 0,5 CP",4 mg,5 cp,dummie,10.0
18899,ONDANSETRONA 4 MG 1 CP,4 mg,1 cp,dummie,10.0
18900,ONDANSETRONA 4 MG 2 CP,4 mg,2 cp,dummie,10.0
17424,PARACETAMOL 500 MG 1 CP,500 mg,1 cp,400.0 355.0,10.0
17425,PARACETAMOL 750 MG 1 CP,750 mg,1 cp,dummie,10.0
17426,PENTOXIFILINA 400 MG 1 CP,400 mg,1 cp,dummie,10.0
17427,PERMANGANATO DE POTASSIO 100 MG 1 CP,100 mg,1 cp,dummie,10.0
17923,PIRIDOXINA 50 MG 1 CP,50 mg,1 cp,dummie,10.0
17431,PIRIMETAMINA 25 MG 1 CP,25 mg,1 cp,dummie,9.0
17432,PREDNISONA 20 MG 1 CP,20 mg,1 cp,dummie,10.0
17433,PREDNISONA 20 MG 2 CP,20 mg,2 cp,dummie,10.0
17434,PREDNISONA 5 MG 1 CP,5 mg,1 cp,dummie,10.0
17435,PREDNISONA 5 MG 2 CP,5 mg,2 cp,dummie,10.0
17436,PROGESTERONA NATURAL MICRONIZADA 200 MG 1 CP,200 mg,1 cp,dummie,10.0
17438,PROPILTIOURACILA 100 MG 1 CP,100 mg,1 cp,dummie,10.0
17439,PROPRANOLOL 10 MG 1 CP,10 mg,1 cp,dummie,10.0
17440,PROPRANOLOL 10 MG 2 CP,10 mg,2 cp,dummie,10.0
17441,PROPRANOLOL 40 MG 1 CP,40 mg,1 cp,dummie,10.0
17442,PROPRANOLOL 40 MG 2 CP,40 mg,2 cp,dummie,10.0
17445,"SENE +TAMARINDO+ALCACUZ (400+19,5+19,5+9+4) MG 1 CP","400+19,5+19,5+9+4 mg",1 cp,dummie,10.0
17447,SINVASTATINA 10 MG 1 CP,10 mg,1 cp,dummie,10.0
17448,SINVASTATINA 20 MG 1 CP,20 mg,1 cp,dummie,10.0
17449,SINVASTATINA 20 MG 2 CP,20 mg,2 cp,dummie,10.0
17450,SULFADIAZINA 500 MG 1 CP,500 mg,1 cp,dummie,10.0
17451,SULFAMETOXAZOL + TRIMETOPRIMA (400+80) MG 1 CP,400+80 mg,1 cp,dummie,10.0
17452,SULFAMETOXAZOL + TRIMETOPRIMA (400+80) MG 2 CP,400+80 mg,2 cp,dummie,10.0
17454,SULFATO FERROSO 300 MG 1 CP,300 mg,1 cp,dummie,10.0
17456,TIAMINA 300 MG 1 CP,300 mg,1 cp,dummie,10.0
17457,TIROXINA SODICA 25 MCG 1 CP,25 mcg,1 cp,dummie,10.0
17458,TIROXINA SODICA 50 MCG 1 CP,50 mcg,1 cp,dummie,10.0
17461,"VARFARINA 2,5 MG 1 CP","2,5 mg",1 cp,dummie,10.0
17462,VARFARINA 5 MG 1 CP,5 mg,1 cp,dummie,10.0
17294,ACIDO ACETILSALICILICO 100 MG 1 CP,100 mg,1 cp,dummie,10.0
17295,ACIDO ACETILSALICILICO 100 MG 2 CP,100 mg,2 cp,dummie,10.0
2,wqw,2,a,1,
12,Rir,10 MG,1 CP,"200, 100",200.0
10,rir,10 mg,1 cp,"400, 100",190.0
