id,nome,dosagem,apresentacao,position
17328,CLARITROMICINA 500 MG 1 CP,500 mg,1 cp,dummie
17330,CLINDAMICINA 300 MG 1 CP,300 mg,1 cp,dummie
17331,CLINDAMICINA 300 MG 2 CP,300 mg,2 cp,dummie
26886,"CLONIDINA 0,10 MG 1CP","0,10 mg",1cp,dummie
17335,CLOPIDOGREL 75 MG 1 CP,75 mg,1 cp,dummie
17337,CLORETO DE POTASSIO 600 MG 1 CP,600 mg,1 cp,dummie
17338,CLORPROPAMIDA 250 MG 1 CP,250 mg,1 cp,dummie
17339,CLORTALIDONA 25 MG 1 CP,25 mg,1 cp,dummie
17342,"COLCHICINA 0,5 MG 1 CP","0,5 mg",1 cp,dummie
17343,COMPLEXO B 1 CP,1 cp,1 cp,dummie
17344,DESLORATADINA 5 MG 1 CP,5 mg,1 cp,dummie
28634,"DEXAMETASONA 4MG 0,5 CP",4mg,5 cp,dummie
17345,DEXAMETASONA 4 MG 1 CP,4 mg,1 cp,dummie
17349,DICLOFENACO SODICO 50 MG 1 CP,50 mg,1 cp,dummie
17351,"DIGOXINA 0,25 MG 1 CP","0,25 mg",1 cp,dummie
17352,DILTIAZEM 30 MG 1 CP,30 mg,1 cp,dummie
17353,DILTIAZEM 30 MG 2 CP,30 mg,2 cp,dummie
17354,DIMETICONA 40 MG 1 CP,40 mg,1 cp,dummie
17355,DIPIRONA +ADIFENINA+PROMETAZINA (500+10+5) MG 1 CP,500+10+5 mg,1 cp,dummie
17356,DIPIRONA SODICA 500 MG 1 CP,500 mg,1 cp,dummie
17357,DIPIRONA SODICA 500 MG 2 CP,500 mg,2 cp,dummie
19804,DOMPERIDONA 10MG 1CP,10mg,1cp,dummie
17358,DOXAZOSINA 2 MG 1 CP,2 mg,1 cp,dummie
27985,DOXICICLINA 100 MG 1CP,100 mg,1cp,dummie
17359,ENALAPRIL 5 MG 1 CP,5 mg,1 cp,dummie
17360,ENALAPRIL 5 MG 2 CP,5 mg,2 cp,dummie
17361,ENALAPRIL 5 MG 4 CP,5 mg,4 cp,dummie
20395,"ERGOMETRINA 0,2 MG 1 CP","0,2 mg",1 cp,dummie
17363,ESCOPOLAMINA 10 MG 1 CP,10 mg,1 cp,dummie
17362,ESCOPOLAMINA +DIPIRONA DRAGEA (10+250) MG 1 CP,10+250 mg,1 cp,dummie
28638,ESOMEPRAZOL MAGNESICO 20 MG 1 CP,20 mg,1 cp,dummie
17364,ESPIRONOLACTONA 100 MG 1 CP,100 mg,1 cp,dummie
17365,ESPIRONOLACTONA 25 MG 1 CP,25 mg,1 cp,dummie
17366,ESPIRONOLACTONA 25 MG 2 CP,25 mg,2 cp,dummie
17369,FLUCONAZOL 100 MG 1 CP,100 mg,1 cp,dummie
20473,FLUCONAZOL 150 MG 1 CP,150 mg,1 cp,dummie
17372,FOLINATO CALCICO 15 MG 1 CP,15 mg,1 cp,dummie
26548,FOLINATO CALCICO MANIPULADO 15 MG 1 CP,15 mg,1 cp,dummie
26483,FORMOTEROL 12 MCG 1 CAPS INALATORIA,12 mcg 1 caps,1 caps inalatoria,dummie
17374,"FUROSEMIDA 40 MG 0,5 CP",40 mg,5 cp,dummie
17373,FUROSEMIDA 40 MG 1 CP,40 mg,1 cp,dummie
17375,FUROSEMIDA 40 MG 2 CP,40 mg,2 cp,dummie
17378,"GLIBENCLAMIDA 5 MG 0,5 CP",5 mg,5 cp,dummie
17377,GLIBENCLAMIDA 5 MG 1 CP,5 mg,1 cp,dummie
17380,HIDRALAZINA 25 MG 1 CP,25 mg,1 cp,dummie
17381,HIDRALAZINA 25 MG 2 CP,25 mg,2 cp,dummie
